title,sell_price,orig_price,rating,num_ratings
SAMSUNG 253 L Frost Free Double Door 3 Star Refrigerator,"₹24,490","₹28,990",4.4,"6,892 Ratings & 694 Reviews"
SAMSUNG 192 L Direct Cool Single Door 2 Star Refrigerator with Base Drawer,"₹14,490","₹16,990",4.4,"4,833 Ratings & 501 Reviews"
Haier 258 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹23,490","₹39,600",4.4,"7,495 Ratings & 793 Reviews"
,,,,
SAMSUNG 192 L Direct Cool Single Door 3 Star Refrigerator,"₹14,590","₹17,990",4.4,"7,690 Ratings & 812 Reviews"
Haier 258 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹23,490","₹39,600",4.4,"7,495 Ratings & 793 Reviews"
Haier 195 L Direct Cool Single Door 4 Star Refrigerator,"₹14,490","₹18,400",4.4,"24,181 Ratings & 2,673 Reviews"
Haier 256 L Frost Free Double Door Bottom Mount 2 Star Convertible Refrigerator,"₹22,490","₹35,900",4.4,797 Ratings & 71 Reviews
SAMSUNG 198 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer,"₹17,690","₹21,990",4.5,"2,012 Ratings & 246 Reviews"
Whirlpool 190 L Direct Cool Single Door 2 Star Refrigerator,"₹11,490","₹15,600",4.3,"37,421 Ratings & 3,463 Reviews"
MarQ by Flipkart 468 L Frost Free Side by Side Refrigerator,"₹38,990","₹64,999",4.3,"1,341 Ratings & 174 Reviews"
SAMSUNG 220 L Direct Cool Single Door 4 Star Refrigerator  with Curd Maestro,"₹18,990","₹25,990",4.6,106 Ratings & 8 Reviews
Godrej 185 L Direct Cool Single Door 4 Star Refrigerator,"₹13,990","₹16,490",4.3,"12,192 Ratings & 1,332 Reviews"
SAMSUNG 253 L Frost Free Double Door 2 Star Convertible Refrigerator,"₹24,690","₹32,990",4.4,"6,711 Ratings & 699 Reviews"
LG 190 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer,"₹16,790","₹20,990",4.4,"6,739 Ratings & 707 Reviews"
"SAMSUNG 225 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer  with Digi Touch Cool, BSD","₹20,390","₹22,990",4.4,"9,032 Ratings & 1,105 Reviews"
Whirlpool 340 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹34,990","₹46,800",4.3,"27,687 Ratings & 2,966 Reviews"
LG 235 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer,"₹20,490","₹30,399",4.4,"6,739 Ratings & 707 Reviews"
